name,base_price,sku,description,long_description,compare_at_price,primary_image_url,tags,is_featured,meta_title,meta_description
Kanjivaram Pure Silk Wedding Saree,12999,KAN-SILK-001,Authentic Kanjivaram silk saree with traditional zari work,<p>This exquisite Kanjivaram silk saree features intricate zari work and traditional motifs. Perfect for weddings and special occasions. Handwoven by master craftsmen.</p>,15999,,"silk,kanjivaram,wedding,bridal,traditional,handwoven",true,Kanjivaram Pure Silk Wedding Saree | Buy Online,Shop authentic Kanjivaram silk wedding saree with traditional zari work. Pure silk handwoven saree for weddings and special occasions.
Banarasi Silk Festive Saree,9999,BAN-SILK-001,Premium Banarasi silk with golden border,<p>Elegant Banarasi silk saree featuring golden zari border and intricate brocade work. Ideal for festivals and celebrations.</p>,12999,,"silk,banarasi,festive,golden,brocade",true,Banarasi Silk Festive Saree | Premium Quality,Premium Banarasi silk saree with golden border and brocade work. Perfect for festivals and celebrations.
Tussar Silk Ethnic Saree,6999,TUS-SILK-001,Natural Tussar silk with block prints,<p>Beautiful Tussar silk saree with hand block prints. Natural texture and earthy tones make it perfect for daily wear and office.</p>,8999,,"tussar,silk,ethnic,blockprint,daily-wear",false,Tussar Silk Ethnic Saree with Block Prints,Handcrafted Tussar silk saree with traditional block prints. Natural texture perfect for daily wear.
Cotton Handloom Casual Saree,2499,COT-HL-001,Pure cotton handloom saree for everyday wear,<p>Soft and comfortable pure cotton handloom saree. Breathable fabric perfect for daily wear and casual occasions.</p>,3499,,"cotton,handloom,casual,daily-wear,comfortable",false,Cotton Handloom Saree | Everyday Comfort,Pure cotton handloom saree for everyday comfort. Breathable and soft fabric for daily wear.
Georgette Party Wear Saree,4999,GEO-PARTY-001,Georgette saree with sequin work,<p>Stunning georgette saree with sequin embellishments. Light and flowy fabric perfect for parties and evening events.</p>,6999,,"georgette,party-wear,sequin,festive,modern",true,Georgette Party Wear Saree with Sequin Work,Designer georgette saree with sequin work. Perfect for parties and evening events.
Chiffon Printed Designer Saree,3999,CHF-PRINT-001,Lightweight chiffon with floral prints,<p>Elegant chiffon saree with beautiful floral prints. Easy to drape and perfect for any occasion.</p>,5499,,"chiffon,printed,floral,designer,lightweight",false,Chiffon Printed Designer Saree | Floral Designs,Lightweight chiffon saree with elegant floral prints. Easy to drape designer saree.
Patola Silk Traditional Saree,14999,PAT-SILK-001,Double Ikat Patola silk saree,<p>Authentic double ikat Patola silk saree. Traditional Gujarati weaving technique with geometric patterns. A collector's piece.</p>,18999,,"patola,silk,traditional,ikat,gujarati,premium",true,Patola Silk Saree | Authentic Double Ikat,Authentic double ikat Patola silk saree with traditional geometric patterns. Premium handwoven saree.
Mysore Silk Classic Saree,8999,MYS-SILK-001,Pure Mysore silk with temple border,<p>Classic Mysore silk saree featuring traditional temple border. Known for its smooth texture and rich colors.</p>,11999,,"mysore,silk,classic,temple-border,traditional",false,Mysore Silk Saree | Pure Silk with Temple Border,Pure Mysore silk saree with traditional temple border. Smooth texture and rich colors.
Linen Cotton Eco-Friendly Saree,3499,LIN-ECO-001,Sustainable linen cotton blend saree,<p>Eco-friendly linen cotton blend saree. Sustainable and comfortable choice for conscious fashion lovers.</p>,4999,,"linen,cotton,eco-friendly,sustainable,casual",false,Linen Cotton Eco-Friendly Saree | Sustainable,Sustainable linen cotton saree. Eco-friendly and comfortable choice for daily wear.
Kanjeevaram Temple Saree,15999,KAN-TEMP-001,Traditional temple design Kanjeevaram,<p>Exquisite Kanjeevaram silk saree with traditional temple architecture motifs. Premium quality silk with pure zari work.</p>,19999,,"kanjivaram,temple,traditional,premium,silk,zari",true,Kanjeevaram Temple Saree | Premium Silk,Premium Kanjeevaram silk saree with traditional temple motifs and pure zari work.
Net Embroidered Wedding Saree,8499,NET-EMB-001,Designer net saree with heavy embroidery,<p>Glamorous net saree with heavy embroidery and stone work. Perfect for wedding receptions and cocktail parties.</p>,11999,,"net,embroidered,wedding,designer,party-wear",true,Net Embroidered Wedding Saree | Designer Collection,Designer net saree with heavy embroidery. Perfect for weddings and parties.
Chanderi Cotton Silk Saree,5499,CHA-SILK-001,Chanderi handloom cotton silk blend,<p>Elegant Chanderi cotton silk saree. Light weight with subtle sheen. Traditional handloom weaving from Madhya Pradesh.</p>,7499,,"chanderi,cotton-silk,handloom,traditional,lightweight",false,Chanderi Cotton Silk Saree | Handloom Weave,Handloom Chanderi cotton silk saree. Lightweight with subtle traditional sheen.
Organza Floral Print Saree,4499,ORG-FLORAL-001,Sheer organza with digital floral prints,<p>Modern organza saree with vibrant digital floral prints. Sheer and lightweight perfect for summer parties.</p>,6499,,"organza,floral,modern,print,summer",false,Organza Floral Print Saree | Summer Collection,Modern organza saree with vibrant floral prints. Perfect for summer occasions.
Bandhani Tie-Dye Saree,6499,BAN-TIE-001,Traditional Rajasthani Bandhani saree,<p>Authentic Bandhani tie-dye saree from Rajasthan. Each dot hand-tied and dyed. Traditional craftsmanship at its best.</p>,8999,,"bandhani,tie-dye,rajasthani,traditional,handcrafted",false,Bandhani Tie-Dye Saree | Rajasthani Tradition,Authentic Rajasthani Bandhani saree. Traditional hand-tied and dyed craftsmanship.
Art Silk Budget Friendly Saree,1999,ART-SILK-001,Affordable art silk saree with border,<p>Budget-friendly art silk saree with attractive border design. Great value for everyday occasions.</p>,2999,,"art-silk,budget,affordable,daily-wear,border",false,Art Silk Saree | Budget Friendly Collection,Affordable art silk saree with border design. Great value for daily wear.
