name,base_price,description,compare_at_price,tags,is_featured
Kanjivaram Pure Silk Wedding Saree,12999,Authentic Kanjivaram silk saree with traditional zari work,15999,"silk,kanjivaram,wedding,bridal",true
Banarasi Silk Festive Saree,9999,Premium Banarasi silk with golden border,12999,"silk,banarasi,festive,golden",true
Tussar Silk Ethnic Saree,6999,Natural Tussar silk with block prints,8999,"tussar,silk,ethnic,blockprint",false
Cotton Handloom Casual Saree,2499,Pure cotton handloom saree for everyday wear,3499,"cotton,handloom,casual,daily-wear",false
Georgette Party Wear Saree,4999,Georgette saree with sequin work,6999,"georgette,party-wear,sequin,festive",true
Chiffon Printed Designer Saree,3999,Lightweight chiffon with floral prints,5499,"chiffon,printed,floral,designer",false
Patola Silk Traditional Saree,14999,Double Ikat Patola silk saree,18999,"patola,silk,traditional,ikat",true
Mysore Silk Classic Saree,8999,Pure Mysore silk with temple border,11999,"mysore,silk,classic,temple-border",false
Linen Cotton Eco-Friendly Saree,3499,Sustainable linen cotton blend saree,4999,"linen,cotton,eco-friendly,sustainable",false
Kanjeevaram Temple Saree,15999,Traditional temple design Kanjeevaram,19999,"kanjivaram,temple,traditional,premium",true
